Respondent_Serial,comp,treatment,treatment_kantar,treatmentgroup,y,workp,org_strictp,org_weakp,cr1,cr2,cr3,crt,understanding1,understanding2,age,gender,education,indincome,occupation,stortingsvalg,leftp
6056,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,0,TRUE,FALSE,FALSE,10,5,7,1,NA,1 Ingen kontroll,62,Mann,Universitet/hoyskole II,800.000 - 999.999 kroner,working fulltime,Hadde ikke stemmerett,TRUE
6098,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,100,24,0,NA,1 Ingen kontroll,60,Kvinne,Universitet/hoyskole I,Onsker ikke aa svare,working fulltime,Vil ikke oppgi parti,TRUE
2660,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,5,5,47,3,NA,1 Ingen kontroll,53,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,Ap,TRUE
1271,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,4,FALSE,FALSE,TRUE,5,5,47,3,Ja,7 Full kontroll,39,Mann,Universitet/hoyskole II,1.000.000 kroner eller mer,self-employed,H,FALSE
5386,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,0,TRUE,FALSE,FALSE,10,1,24,0,NA,1 Ingen kontroll,52,Mann,Universitet/hoyskole I,800.000 - 999.999 kroner,working fulltime,Frp,FALSE
3711,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,2,FALSE,FALSE,TRUE,10,5,47,2,NA,1 Ingen kontroll,69,Mann,Universitet/hoyskole II,500.000 - 599.999 kroner,retired,Ap,TRUE
3856,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,4,FALSE,FALSE,TRUE,10,5,NA,1,Ja,1 Ingen kontroll,50,Kvinne,Videregaaende,400.000 - 499.000 kr,working parttime,H,FALSE
1422,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,5,5,47,3,NA,7 Full kontroll,73,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,retired,SV,TRUE
133,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,2,FALSE,FALSE,TRUE,10,5,24,1,NA,7 Full kontroll,30,Mann,Fagutdanning,700-000 - 799.999 kroner,working fulltime,NA,TRUE
6118,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,NA,NA,0,NA,4,30,Mann,Universitet/hoyskole I,Onsker ikke aa svare,self-employed,NA,TRUE
4668,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,1,TRUE,TRUE,TRUE,5,NA,24,1,NA,1 Ingen kontroll,28,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,NA,TRUE
3949,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,8,FALSE,FALSE,TRUE,10,NA,24,0,NA,1 Ingen kontroll,56,Kvinne,Videregaaende,300.000-399.000 kroner,working fulltime,Ap,TRUE
2589,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,1,TRUE,FALSE,FALSE,10,100,47,1,NA,1 Ingen kontroll,32,Mann,Fagutdanning,400.000 - 499.000 kr,working fulltime,NA,TRUE
6381,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,5,47,2,NA,4,25,Mann,Universitet/hoyskole I,500.000 - 599.999 kroner,working parttime,NA,TRUE
585,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,5,5,47,3,NA,7 Full kontroll,30,Mann,Universitet/hoyskole II,600.000 - 699.999 kroner,working fulltime,NA,TRUE
228,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,5,5,47,3,NA,3,18,Mann,Grunnskole,Under 200.000 kroner,student,NA,TRUE
4264,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,10,5e3,24,0,NA,3,35,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,working fulltime,KrF,TRUE
1291,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,4,FALSE,FALSE,TRUE,10,100,NA,0,Vet ikke,Vet ikke,26,Kvinne,Videregaaende,Under 200.000 kroner,student,Stemte ikke,TRUE
6114,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,0,TRUE,FALSE,FALSE,5,NA,NA,1,NA,1 Ingen kontroll,44,Mann,Universitet/hoyskole I,700-000 - 799.999 kroner,self-employed,Sp,TRUE
1760,1,Base (nw),T2 NO CHOICE – NO WORK,Base,1,FALSE,FALSE,TRUE,5,100,47,2,NA,1 Ingen kontroll,23,Mann,Universitet/hoyskole I,200.000 - 299.999 kroner,student,NA,TRUE
401,2,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,NA,TRUE,FALSE,FALSE,NA,NA,NA,0,NA,NA,18,Mann,Fagutdanning,Under 200.000 kroner,student,NA,TRUE
3010,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,3,TRUE,FALSE,FALSE,10,5,24,1,NA,1 Ingen kontroll,72,Mann,Videregaaende,400.000 - 499.000 kr,retired,Ap,TRUE
6527,2,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,NA,45,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,working fulltime,Ap,TRUE
3360,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,500,47,1,NA,4,54,Mann,Videregaaende,400.000 - 499.000 kr,self-employed,Sp,TRUE
2825,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,100,24,0,NA,1 Ingen kontroll,63,Mann,Universitet/hoyskole II,Under 200.000 kroner,national insurance,KrF,TRUE
5203,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,29,Mann,Universitet/hoyskole I,200.000 - 299.999 kroner,student,NA,TRUE
5074,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,5,100,47,2,NA,1 Ingen kontroll,27,Mann,Universitet/hoyskole II,400.000 - 499.000 kr,working fulltime,NA,TRUE
1794,2,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,60,Kvinne,Universitet/hoyskole II,400.000 - 499.000 kr,working fulltime,Vil ikke oppgi parti,TRUE
1214,1,Base (nw),T2 NO CHOICE – NO WORK,Base,6,FALSE,FALSE,TRUE,10,NA,24,0,NA,1 Ingen kontroll,53,Mann,Videregaaende,400.000 - 499.000 kr,self-employed,H,FALSE
6402,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,2,TRUE,TRUE,TRUE,10,5,47,2,Nei,7 Full kontroll,27,Mann,Fagutdanning,400.000 - 499.000 kr,working fulltime,NA,TRUE
6975,2,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,51,Kvinne,Universitet/hoyskole I,400.000 - 499.000 kr,working parttime,SV,TRUE
3520,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,10,100,47,1,NA,1 Ingen kontroll,53,Kvinne,Videregaaende,400.000 - 499.000 kr,working fulltime,Sp,TRUE
3170,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,100,5,NA,1,NA,1 Ingen kontroll,54,Mann,Universitet/hoyskole I,600.000 - 699.999 kroner,working fulltime,Frp,FALSE
4860,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,5,5,NA,2,NA,1 Ingen kontroll,45,Mann,Universitet/hoyskole I,300.000-399.000 kroner,self-employed,Vil ikke oppgi parti,TRUE
1390,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,100,24,0,Ja,7 Full kontroll,44,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,working fulltime,Stemte ikke,TRUE
6280,1,Base (nw),T2 NO CHOICE – NO WORK,Base,0,FALSE,FALSE,TRUE,100,100,47,1,NA,1 Ingen kontroll,29,Mann,Universitet/hoyskole I,600.000 - 699.999 kroner,working fulltime,NA,TRUE
1941,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,0,TRUE,FALSE,FALSE,10,5,24,1,NA,7 Full kontroll,50,Mann,Universitet/hoyskole I,600.000 - 699.999 kroner,working fulltime,Ap,TRUE
6670,2,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,NA,72,Kvinne,Videregaaende,200.000 - 299.999 kroner,retired,Ap,TRUE
5101,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,5,FALSE,FALSE,TRUE,100,500,48,0,NA,5,67,Kvinne,Universitet/hoyskole II,400.000 - 499.000 kr,other,Ap,TRUE
82,2,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,33,Mann,Fagutdanning,500.000 - 599.999 kroner,working fulltime,NA,TRUE
3847,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,5,5,47,3,NA,7 Full kontroll,51,Kvinne,Fagutdanning,300.000-399.000 kroner,working fulltime,Frp,FALSE
6738,2,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,62,Mann,Videregaaende,600.000 - 699.999 kroner,retired,Frp,FALSE
1428,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,1,TRUE,TRUE,TRUE,10,5,24,1,Ja,1 Ingen kontroll,31,Mann,Videregaaende,400.000 - 499.000 kr,working fulltime,NA,TRUE
73,1,Base (nw),T2 NO CHOICE – NO WORK,Base,1,FALSE,FALSE,TRUE,5,5,47,3,NA,1 Ingen kontroll,23,Kvinne,Universitet/hoyskole I,200.000 - 299.999 kroner,student,H,FALSE
5543,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,10,1,24,0,NA,Vet ikke,43,Kvinne,Universitet/hoyskole I,Onsker ikke aa svare,other,Stemte ikke,TRUE
3490,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,5,5,47,3,NA,1 Ingen kontroll,32,Mann,Videregaaende,Onsker ikke aa svare,working fulltime,NA,TRUE
4719,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,5,5,47,3,NA,1 Ingen kontroll,29,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,working fulltime,MDG,TRUE
1692,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,10,5,24,1,NA,1 Ingen kontroll,29,Mann,Universitet/hoyskole I,200.000 - 299.999 kroner,working parttime,NA,TRUE
5666,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,5,47,2,NA,1 Ingen kontroll,40,Mann,Universitet/hoyskole II,600.000 - 699.999 kroner,working fulltime,Ap,TRUE
4216,1,Base (nw),T2 NO CHOICE – NO WORK,Base,0,FALSE,FALSE,TRUE,5,5,24,2,NA,1 Ingen kontroll,64,Kvinne,Universitet/hoyskole II,300.000-399.000 kroner,national insurance,Ap,TRUE
3733,1,Base (nw),T2 NO CHOICE – NO WORK,Base,3,FALSE,FALSE,TRUE,10,100,47,1,NA,1 Ingen kontroll,26,Kvinne,Universitet/hoyskole I,400.000 - 499.000 kr,self-employed,SV,TRUE
2196,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,1,TRUE,TRUE,TRUE,5,100,24,1,NA,4,28,Kvinne,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,H,FALSE
3287,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,10,100,24,0,NA,1 Ingen kontroll,56,Kvinne,Grunnskole,200.000 - 299.999 kroner,national insurance,Ap,TRUE
3722,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,2,FALSE,FALSE,TRUE,10,NA,NA,0,NA,1 Ingen kontroll,26,Kvinne,Universitet/hoyskole I,Onsker ikke aa svare,working fulltime,Husker ikke/vet ikke,TRUE
476,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,10,5,NA,1,NA,7 Full kontroll,35,Mann,Fagutdanning,800.000 - 999.999 kroner,working fulltime,NA,TRUE
2315,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,1,TRUE,FALSE,FALSE,50,5,47,2,NA,1 Ingen kontroll,52,Mann,Fagutdanning,500.000 - 599.999 kroner,self-employed,H,FALSE
6227,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,10,5,47,2,NA,1 Ingen kontroll,32,Mann,Grunnskole,700-000 - 799.999 kroner,working fulltime,NA,TRUE
5503,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,10,100,24,0,NA,1 Ingen kontroll,28,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,working fulltime,SV,TRUE
3097,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,0,TRUE,TRUE,TRUE,10,5,47,2,NA,1 Ingen kontroll,50,Mann,Videregaaende,1.000.000 kroner eller mer,working fulltime,Frp,FALSE
4344,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,5,24,1,NA,1 Ingen kontroll,60,Kvinne,Universitet/hoyskole II,200.000 - 299.999 kroner,national insurance,Ap,TRUE
5782,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,2,TRUE,TRUE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,45,Mann,Fagutdanning,600.000 - 699.999 kroner,working fulltime,H,FALSE
181,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,5,100,47,2,NA,1 Ingen kontroll,20,Mann,Videregaaende,Onsker ikke aa svare,student,NA,TRUE
2023,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,8,TRUE,FALSE,FALSE,10,100,24,0,NA,1 Ingen kontroll,70,Kvinne,Universitet/hoyskole II,800.000 - 999.999 kroner,retired,H,FALSE
5534,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,3,FALSE,FALSE,TRUE,5,5,47,3,Ja,3,19,Mann,Videregaaende,Under 200.000 kroner,other,NA,TRUE
5934,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,0,TRUE,TRUE,TRUE,10,5,24,1,NA,1 Ingen kontroll,49,Mann,Fagutdanning,1.000.000 kroner eller mer,working fulltime,H,FALSE
6941,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,100,24,0,NA,1 Ingen kontroll,38,Kvinne,Universitet/hoyskole I,200.000 - 299.999 kroner,unemployed,MDG,TRUE
5373,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,20,47,1,Ja,1 Ingen kontroll,41,Mann,Fagutdanning,200.000 - 299.999 kroner,working parttime,Frp,FALSE
4666,1,Base (nw),T2 NO CHOICE – NO WORK,Base,2,FALSE,FALSE,TRUE,5,5,47,3,NA,1 Ingen kontroll,29,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,NA,TRUE
5227,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,3,TRUE,FALSE,FALSE,150,300,50,0,NA,3,20,Mann,Videregaaende,600.000 - 699.999 kroner,working parttime,NA,TRUE
1790,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,2,FALSE,FALSE,TRUE,5,500,47,2,NA,4,21,Kvinne,Videregaaende,200.000 - 299.999 kroner,student,Hadde ikke stemmerett,TRUE
2123,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,1,100,24,0,NA,1 Ingen kontroll,44,Kvinne,Fagutdanning,300.000-399.000 kroner,working parttime,H,FALSE
2118,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,5,5,12,2,NA,1 Ingen kontroll,58,Mann,Videregaaende,300.000-399.000 kroner,national insurance,SV,TRUE
3178,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,5,5,47,3,NA,1 Ingen kontroll,68,Mann,Videregaaende,200.000 - 299.999 kroner,retired,Frp,FALSE
1899,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,100,47,1,NA,1 Ingen kontroll,28,Kvinne,Universitet/hoyskole II,400.000 - 499.000 kr,working fulltime,R,TRUE
1561,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,26,Mann,Universitet/hoyskole II,200.000 - 299.999 kroner,working parttime,NA,TRUE
2375,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,1,FALSE,FALSE,TRUE,5,5,47,3,NA,1 Ingen kontroll,47,Mann,Universitet/hoyskole I,1.000.000 kroner eller mer,working fulltime,H,FALSE
827,2,Base (w),T1 NO CHOICE,Base,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,40,Mann,Fagutdanning,500.000 - 599.999 kroner,self-employed,Sp,TRUE
5199,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,10,100,NA,0,NA,1 Ingen kontroll,52,Mann,Videregaaende,600.000 - 699.999 kroner,working fulltime,Ap,TRUE
2749,1,Base (w),T1 NO CHOICE,Base,2,TRUE,TRUE,TRUE,10,5,47,2,NA,4,50,Mann,Fagutdanning,700-000 - 799.999 kroner,working fulltime,Ap,TRUE
5713,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,100,NA,0,NA,1 Ingen kontroll,33,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,working fulltime,SV,TRUE
3510,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,20,NA,0,NA,1 Ingen kontroll,64,Kvinne,Universitet/hoyskole I,Onsker ikke aa svare,working parttime,Ap,TRUE
303,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,66,Kvinne,Universitet/hoyskole I,300.000-399.000 kroner,retired,Ap,TRUE
4442,1,Base (w),T1 NO CHOICE,Base,2,TRUE,TRUE,TRUE,10,100,47,1,NA,3,34,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,NA,TRUE
807,2,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,56,Mann,Fagutdanning,600.000 - 699.999 kroner,working fulltime,Frp,FALSE
411,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,500,24,0,Ja,5,38,Mann,Videregaaende,200.000 - 299.999 kroner,working parttime,Husker ikke/vet ikke,TRUE
4079,1,Base (nw),T2 NO CHOICE – NO WORK,Base,2,FALSE,FALSE,TRUE,5,1,NA,1,NA,1 Ingen kontroll,52,Mann,Fagutdanning,400.000 - 499.000 kr,working fulltime,H,FALSE
6322,2,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,5,NA,NA,1,NA,Vet ikke,71,Mann,Videregaaende,200.000 - 299.999 kroner,retired,Ap,TRUE
2307,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,5,5,47,3,NA,1 Ingen kontroll,55,Mann,Grunnskole,700-000 - 799.999 kroner,self-employed,Frp,FALSE
2459,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,5,100,47,2,NA,1 Ingen kontroll,26,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,NA,TRUE
3793,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,5,20,12,1,NA,7 Full kontroll,47,Kvinne,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,Ap,TRUE
4135,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,2,TRUE,FALSE,FALSE,5,5,47,3,NA,2,23,Mann,Videregaaende,Under 200.000 kroner,student,NA,TRUE
5915,2,Base (w),T1 NO CHOICE,Base,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,59,Kvinne,Fagutdanning,300.000-399.000 kroner,working parttime,H,FALSE
6736,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,5,5,24,2,Vet ikke,1 Ingen kontroll,57,Mann,Videregaaende,600.000 - 699.999 kroner,working fulltime,Frp,FALSE
262,1,Base (nw),T2 NO CHOICE – NO WORK,Base,3,FALSE,FALSE,TRUE,5,25,47,2,NA,1 Ingen kontroll,68,Kvinne,Universitet/hoyskole I,500.000 - 599.999 kroner,retired,Ap,TRUE
2913,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,4,FALSE,FALSE,TRUE,10,5,24,1,Ja,Vet ikke,48,Mann,Fagutdanning,600.000 - 699.999 kroner,working fulltime,Ap,TRUE
4658,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,100,24,0,NA,3,53,Kvinne,Universitet/hoyskole II,600.000 - 699.999 kroner,working fulltime,Ap,TRUE
1978,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,5,5,47,3,NA,5,29,Mann,Universitet/hoyskole I,600.000 - 699.999 kroner,working fulltime,NA,TRUE
6205,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,10,5,NA,1,NA,1 Ingen kontroll,66,Kvinne,Universitet/hoyskole II,300.000-399.000 kroner,retired,Ap,TRUE
5556,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,5,24,1,NA,1 Ingen kontroll,66,Kvinne,Fagutdanning,1.000.000 kroner eller mer,retired,Frp,FALSE
774,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,3,TRUE,FALSE,FALSE,5,4,NA,1,NA,1 Ingen kontroll,27,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,NA,TRUE
6306,2,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,NA,TRUE,FALSE,FALSE,NA,NA,NA,0,NA,NA,58,Mann,Universitet/hoyskole II,600.000 - 699.999 kroner,working fulltime,Ap,TRUE
3381,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,5,47,2,NA,3,35,Kvinne,Universitet/hoyskole I,300.000-399.000 kroner,working fulltime,R,TRUE
4367,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,2,TRUE,FALSE,FALSE,5,1,47,2,NA,1 Ingen kontroll,51,Mann,Fagutdanning,500.000 - 599.999 kroner,working fulltime,Ap,TRUE
819,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,2,TRUE,FALSE,FALSE,10,100,24,0,NA,6,60,Mann,Grunnskole,300.000-399.000 kroner,working fulltime,Ap,TRUE
2150,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,2,TRUE,TRUE,TRUE,10,100,24,0,NA,1 Ingen kontroll,79,Mann,Videregaaende,300.000-399.000 kroner,retired,H,FALSE
5328,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,3,FALSE,FALSE,TRUE,10,5,47,2,Ja,4,74,Mann,Universitet/hoyskole II,500.000 - 599.999 kroner,retired,Sp,TRUE
5919,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,0,TRUE,TRUE,TRUE,10,5,47,2,Ja,1 Ingen kontroll,21,Kvinne,Universitet/hoyskole I,200.000 - 299.999 kroner,working parttime,H,FALSE
2810,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,5,1,47,2,NA,1 Ingen kontroll,27,Kvinne,Universitet/hoyskole II,300.000-399.000 kroner,working fulltime,Vil ikke oppgi parti,TRUE
85,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,5,24,1,NA,2,30,Kvinne,Universitet/hoyskole II,400.000 - 499.000 kr,working fulltime,V,TRUE
1447,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,5,100,12,1,NA,Vet ikke,56,Kvinne,Videregaaende,Onsker ikke aa svare,unemployed,Vil ikke oppgi parti,TRUE
6551,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,10,5,24,1,NA,1 Ingen kontroll,26,Mann,Fagutdanning,400.000 - 499.000 kr,working fulltime,NA,TRUE
4745,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,2,TRUE,FALSE,FALSE,5,5,47,3,NA,1 Ingen kontroll,26,Kvinne,Universitet/hoyskole I,200.000 - 299.999 kroner,working parttime,V,TRUE
1438,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,5,100,47,2,NA,1 Ingen kontroll,25,Mann,Universitet/hoyskole I,200.000 - 299.999 kroner,working parttime,NA,TRUE
6401,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,5,47,2,NA,1 Ingen kontroll,63,Mann,Universitet/hoyskole I,500.000 - 599.999 kroner,retired,SV,TRUE
3850,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,5,3,1,Ja,4,64,Mann,Universitet/hoyskole II,600.000 - 699.999 kroner,working parttime,MDG,TRUE
6365,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,5,100,47,2,NA,1 Ingen kontroll,35,Kvinne,Universitet/hoyskole II,400.000 - 499.000 kr,working fulltime,H,FALSE
2358,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,1 Ingen kontroll,58,Mann,Universitet/hoyskole I,500.000 - 599.999 kroner,working fulltime,Vil ikke oppgi parti,TRUE
409,2,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,47,Kvinne,Universitet/hoyskole II,1.000.000 kroner eller mer,working fulltime,Ap,TRUE
